,Date,Open,High,Low,Close,Volume,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,EMA_55,EMA_99,EMA_222,Score
0,2020-06-24 22:50:00,9279.04,9289.0,9279.04,9286.62,455.294,,,,,9301.0,9286.62,9286.62,9286.62,0
1,2020-06-24 22:55:00,9286.62,9298.99,9286.24,9298.71,660.1239999999998,,,,,9302.03,9287.051785714288,9286.8618,9286.728430493275,0
2,2020-06-24 23:00:00,9298.72,9304.48,9296.24,9296.64,930.47,,,,,9299.44,9287.394221938779,9287.057364,9286.817323493335,0
3,2020-06-24 23:05:00,9296.65,9299.97,9293.34,9299.21,337.821,,,,,9290.01,9287.816214012395,9287.300416720002,9286.928468574111,0
4,2020-06-24 23:10:00,9299.2,9320.0,9299.2,9311.25,1054.784,,,,,9286.65,9288.653134940525,9287.779408385602,9287.146598900801,0
5,2020-06-24 23:15:00,9311.25,9320.0,9310.0,9311.66,343.8769999999999,,,,,9284.82,9289.474808692648,9288.25702021789,9287.366450031735,0
6,2020-06-24 23:20:00,9311.66,9314.65,9306.5,9309.05,311.3590000000001,,,,,9289.08,9290.173922667911,9288.672879813534,9287.5609213319,0
7,2020-06-24 23:25:00,9309.06,9328.0,9305.33,9313.64,834.6469999999998,,,,,9278.99,9291.011996858342,9289.172222217263,9287.794814414125,0
8,2020-06-24 23:30:00,9314.01,9320.0,9314.0,9318.21,155.67,,,,,9280.68,9291.983354113401,9289.752977772918,9288.067596347631,0
9,2020-06-24 23:35:00,9318.21,9318.21,9310.13,9310.14,234.24,,,,,9284.03,9292.631805752208,9290.160718217458,9288.265555124783,0
10,2020-06-24 23:40:00,9310.13,9319.43,9310.13,9315.99,173.081,,,,,9272.01,9293.466026975344,9290.677303853108,9288.514204854604,0
11,2020-06-24 23:45:00,9315.99,9317.48,9273.43,9287.95,1474.821,,,,,9283.06,9293.269026011938,9290.622757776046,9288.509144721378,0
12,2020-06-24 23:50:00,9287.95,9287.96,9281.89,9286.86,220.766,,,,,9271.62,9293.040132225797,9290.547502620524,9288.494354185761,0
13,2020-06-24 23:55:00,9286.86,9318.21,9279.32,9298.4,5641.675,,,,,9247.64,9293.231556074876,9290.704552568113,9288.583194058534,0
14,2020-06-25 00:00:00,9298.78,9298.9,9277.73,9280.62,1021.026,,,,,9259.58,9292.781143357917,9290.50286151675,9288.51177527774,0
15,2020-06-25 00:05:00,9280.61,9295.93,9280.61,9284.16,367.534,,,,,9262.87,9292.473245380848,9290.376004286414,9288.472745903053,0
16,2020-06-25 00:10:00,9284.17,9299.17,9268.85,9287.21,2013.544,,,,,9257.28,9292.285272331534,9290.312684200684,9288.461420827689,0
17,2020-06-25 00:15:00,9287.21,9291.99,9278.1,9283.56,277.436,,,,,9266.0,9291.97365546255,9290.177630516671,9288.417461896499,0
18,2020-06-25 00:20:00,9283.5,9294.0,9283.5,9291.58,301.58,,,,,9257.9,9291.95959633889,9290.205677906337,9288.445825466935,0
19,2020-06-25 00:25:00,9291.56,9297.58,9291.4,9296.24,187.807,9298.425,,,,9257.95,9292.112467898214,9290.326364348211,9288.515728377544,0
20,2020-06-25 00:30:00,9296.24,9297.02,9284.88,9285.63,201.57,9298.425,,,,9234.43,9291.880951187562,9290.232437061248,9288.489847405548,0
21,2020-06-25 00:35:00,9285.63,9285.65,9270.5,9270.5,579.715,9298.425,,,,9187.59,9291.117345788007,9289.837788320023,9288.32850348263,0
22,2020-06-25 00:40:00,9270.51,9275.74,9270.5,9272.25,379.902,9298.425,,,,9118.37,9290.443512009864,9289.486032553621,9288.184301657673,0
